2a,b,t,theta,l_(over+a),l_taper,K_1(0),K_1(90),K_1(180),e_l(Node1),e_theta(Node1),e_r(Node1),e_l(Node2),e_theta(Node2),e_r(Node2),e_l(Node3),e_theta(Node3),e_r(Node3),e_l(Node4),e_theta(Node4),e_r(Node4),e_l(Node5),e_theta(Node5),e_r(Node5),e_l(Node6),e_theta(Node6),e_r(Node6),e_l(Node7),e_theta(Node7),e_r(Node7)
8,5.603441799,2.008066253,0,45.01994009,0.52716976,13.47872031,15.83825787,13.11918276,96.22613312,543.2690956,-258.1848594,115.0222906,500.2653607,-250.5533768,97.72680425,560.5220913,-327.3104628,118.1905098,464.8136924,-264.3770249,94.87762027,410.9443691,-287.3930281,114.5546384,411.2244988,-306.9483588,118.7252457,446.6031938,-198.7672763
8,4.430125218,4.049539241,0,51.01695292,1.784573081,11.51933055,13.55738915,11.48127196,93.7571099,461.1525205,-188.8928779,97.04924516,532.4129697,-301.7343176,94.29481677,464.6980918,-263.9882542,80.62239858,485.6072429,-276.4781941,103.9691163,557.1866287,-202.738786,72.78376516,528.8339554,-313.6248973,80.50339196,474.0034443,-230.0473465
8,2.700042786,7.175884332,0,22.10229704,10.84683083,8.572092063,10.12450791,9.019676217,70.40481138,333.1365888,-170.2375467,76.8330161,462.5253499,-215.771139,43.40070014,475.2769646,-153.5140868,65.13602937,345.891703,-252.9796594,44.70033421,350.8713311,-213.3246602,80.4275901,513.9377602,-194.8780101,78.08237858,368.5806119,-274.6770069
8,4.670732109,2.413888895,0,55.90797731,12.33834173,12.52964124,14.75532556,12.30395692,112.3398137,554.0921756,-183.1117008,64.59266111,535.4191596,-323.2343566,100.4528108,379.660189,-235.5181409,60.07608379,537.4436197,-187.194151,117.6936482,382.1061559,-202.1387131,103.2569699,422.8816006,-193.6018056,91.22262358,461.0959742,-226.8591992
8,3.57880052,7.08283938,0,51.97393624,10.96259049,9.321620726,10.97121684,9.672024612,84.91274167,475.6928249,-254.6421223,83.16481848,358.5475929,-284.9943503,73.27755486,438.8201139,-275.2453565,44.38710003,353.402836,-186.1247526,91.2039247,335.7438851,-165.5246015,40.12537433,356.1178738,-257.6915587,55.32023286,420.9834817,-159.4238302
8,4.683947136,2.500112245,0,69.27554346,24.52519273,12.49710159,14.71548508,12.2787181,97.4164211,558.0378422,-270.7006062,86.08393703,562.4413822,-245.1806348,70.7820121,439.2828362,-326.1304164,116.2588573,478.7318347,-266.3503212,95.73368967,439.378442,-180.7563702,61.00920885,554.949673,-250.4933239,94.35944032,388.0544169,-265.0357925
8,4.122316619,7.233644819,0,49.75118417,20.46620717,9.681030886,11.36989807,9.992163706,66.45661071,337.0695315,-286.1576812,74.68790523,524.041923,-199.0096337,58.64351891,506.0711667,-201.287322,79.23707651,364.3865723,-236.5467312,44.12414507,474.5549142,-253.1992045,86.85105973,347.5411049,-158.5521947,79.3793651,413.3043613,-168.9469756
8,3.242151687,0.044282247,0,51.05127763,10.85697312,12.57158023,14.89136717,12.25179328,83.7101007,422.1436616,-345.8919852,123.9575055,468.1367358,-253.2100258,117.2132498,507.3590055,-245.4474818,117.9057215,458.4563482,-320.9381108,110.0844563,577.3356038,-242.4871224,128.7863967,479.7498901,-319.6230062,88.63147973,449.0477378,-309.9997186
8,3.194075624,7.787723826,0,26.53583697,18.84151429,8.661398586,10.20203377,9.120763406,71.61805796,494.6215576,-167.4925419,37.56989292,411.5776555,-173.5848018,33.33487885,471.1688151,-177.5303875,72.72960767,340.3534257,-193.315277,49.14974223,416.0837186,-179.8830783,35.83662579,426.9267894,-278.1894512,57.96779326,495.2017428,-172.919302
8,3.66157897,3.877112089,0,69.09789206,7.891294413,10.99070713,12.96915382,11.01226044,64.70803527,496.2544917,-290.3054227,97.78013283,369.6625761,-258.4831763,101.025415,560.7218448,-261.4403968,51.75933393,472.2350232,-190.252225,97.54930507,482.9155858,-173.471027,85.10404333,525.2966269,-239.0307961,77.71733545,365.9118465,-292.0685583
8,2.438041199,4.318312563,0,30.96388147,25.92613177,9.791276678,11.60324954,9.979303814,62.35235771,549.8247778,-234.8864267,103.4699683,362.729537,-255.4977535,59.18559155,465.2357429,-280.5132595,88.32907524,493.3650271,-252.0732304,107.4586306,419.3567513,-307.0172785,107.9424376,513.9883522,-241.4805241,75.53553772,518.409959,-240.6714407
8,2.75959302,4.174191786,0,29.58517208,16.72111971,10.12057852,11.97911865,10.2620384,94.1570349,406.0707461,-314.3420947,62.1241733,509.0806596,-171.0784408,66.28303723,378.2868967,-281.7924411,82.60710301,453.7494119,-171.5241452,95.73179715,524.7327835,-174.7450736,87.40622103,497.021264,-255.2644168,69.2331583,378.6859589,-267.0008842
8,5.635224118,7.779151017,0,58.91940789,23.79650922,10.61860379,12.4042111,10.83299648,76.0489299,333.3661444,-183.3656675,84.30149103,374.2198093,-258.3467777,90.92573847,388.1825964,-239.7772116,76.3147197,348.304652,-238.7246196,76.56722999,326.7751533,-224.5837366,47.5695629,373.1495762,-195.4634468,44.11319248,329.3369774,-266.0439443
8,4.121845234,8.751025664,0,42.48529828,12.51700302,8.921963355,10.45904531,9.384881398,30.32921632,494.9006219,-271.6872502,52.97874288,384.2984463,-240.9619317,81.25844017,462.7998901,-208.4525896,37.42135526,491.8111379,-130.5261878,80.77082935,447.8884714,-177.1192723,51.84009317,488.1609406,-193.4734942,66.60571237,358.0039643,-243.3066921
8,5.079758298,4.569347892,0,40.14098351,17.55319852,11.77913269,13.83017373,11.72809165,81.09841461,448.2365818,-266.7257333,91.83386941,407.8779615,-197.3281429,75.4482117,485.0632509,-197.1473701,102.6329088,455.77617,-235.5729523,51.4681312,428.5872347,-301.1173628,54.28379375,475.9650765,-230.8188737,55.17178395,486.9821964,-218.0792543
8,5.564015513,8.609955815,0,58.44999522,16.82533778,10.1462345,11.84164047,10.45082853,78.9007593,464.696112,-262.0633061,28.48382021,469.5188361,-139.9630795,50.45454678,431.8080131,-276.6453917,35.78868964,459.3213791,-162.0727199,27.91294909,378.1901437,-216.7450222,71.68663385,444.9873339,-161.9593299,46.41927709,331.9444619,-158.4862326
8,3.887953482,2.16101698,0,4.228811447,38.23456373,12.0298543,14.20254795,11.85716065,77.14888692,529.377681,-269.9037301,69.73522633,491.915097,-293.6203688,81.34118456,474.7406496,-299.8544738,85.28560145,446.1267388,-208.2303962,74.96712407,566.477165,-232.8279419,110.6612009,567.4099908,-314.9595653,86.06887893,575.9703295,-192.0612989
8,2.634577924,5.959363907,0,50.31197994,38.76579499,9.127980385,10.79550179,9.460458984,78.86842091,507.5147849,-299.9592013,58.38336182,362.2815536,-219.2422202,95.46743136,406.5421876,-253.4190215,55.90397927,383.3778348,-251.2260783,61.77292044,389.1646843,-262.9633723,44.66360361,387.0803728,-287.9441473,49.40048419,492.8252315,-162.1146668
8,3.586481501,6.444871115,0,25.17777369,38.95239847,9.646749643,11.36091068,9.932588605,53.24145146,500.6368739,-231.5119255,42.97556993,431.6270969,-216.5157373,38.53249006,402.9012157,-226.1267658,52.07900328,503.9822237,-205.3964223,57.95551157,455.4679736,-222.9777401,72.40624752,396.5857164,-290.6012032,56.55605477,372.0082711,-232.0766576
8,3.459400368,5.685270014,0,65.17748569,22.29283798,9.924885287,11.70229832,10.14747225,60.59355977,354.310369,-160.0632316,93.36455922,501.423189,-179.1803157,85.52339317,396.1659988,-213.7390244,94.76493181,542.228381,-163.8541589,75.29821457,403.7299966,-166.3706384,52.57025529,424.5803281,-291.2116706,73.91321812,352.5093818,-206.8508945
8,2.994306416,0.504428809,0,18.96003826,36.18157966,12.14323073,14.39221849,11.89424297,126.7683613,460.704888,-216.0915814,82.03570111,510.7811556,-230.4424311,110.0335385,510.5295891,-266.8194694,88.83141742,496.2687062,-241.9435947,71.99966951,524.651369,-266.9944811,72.79040033,494.8035526,-303.215045,82.36351526,416.9429057,-328.2278768
8,4.983891716,4.785444535,0,56.38826568,23.49281733,11.59439111,13.61423582,11.57454639,65.95396672,384.2933954,-183.4284406,78.09461758,527.7284238,-216.7901454,86.6715853,540.6737749,-247.069827,73.25004553,427.8546542,-219.8979256,103.379506,508.9106328,-256.2794554,53.81224264,400.960093,-208.2242935,99.92808361,370.8759475,-261.0880918
8,2.584045079,5.308126185,0,69.61089198,40.76188166,9.413172971,11.14076486,9.685581081,98.8441459,512.9811991,-228.8434043,70.00650646,464.1501552,-280.8176422,50.54723641,400.7063587,-195.3168004,47.08567082,533.9421247,-185.9923488,65.1933273,509.8422154,-218.1583634,63.47789928,529.6452138,-237.7225687,89.41321678,351.4213253,-188.7916259
8,4.963504704,5.740422674,0,18.3045498,11.45234046,11.10059243,13.02290063,11.17828422,89.69600067,501.2607406,-294.2271506,70.24113095,410.7216522,-196.9494436,56.07518912,427.4611052,-210.4562706,88.86006179,402.9160552,-176.4980138,70.31883133,524.5640218,-177.7955185,84.54168774,413.0383927,-201.2316705,61.34914493,514.698161,-156.6545497
8,4.1820337,6.470175778,0,40.05043714,18.16869794,10.11053907,11.88172486,10.33935328,41.04101141,398.3426465,-189.0949163,89.81268965,429.2838826,-278.3423677,69.3423398,430.9847767,-231.1144087,69.04411218,465.7670084,-257.8497305,74.56576048,473.4498344,-275.4707921,61.51448257,423.7586787,-284.7733651,88.31544008,443.7392155,-206.2043002
8,2.3128354,7.747142135,0,57.54140464,4.695234135,7.976697253,9.433266579,8.520127926,44.629262,407.9723171,-188.3617838,35.27450724,388.3693574,-282.5771458,36.83850226,424.1393142,-147.2209088,56.8488031,484.6286673,-161.414766,35.7159802,352.7935685,-253.6659002,31.46824243,513.7444475,-212.6576572,56.14353412,331.7052745,-164.2612054
8,3.114929231,8.547598725,0,21.66588608,25.1630035,8.218144022,9.674877073,8.761410972,35.62611542,452.7997426,-274.8464862,59.49428983,326.7115161,-223.283693,83.19349547,410.5505084,-167.2819405,79.0644032,439.5691425,-211.8683701,80.60335857,506.7412,-218.8185762,39.71492533,319.3804466,-188.3100339,29.92694016,431.9066322,-281.0084234
8,3.540307394,6.511065357,0,58.07882171,4.621573311,9.576713237,11.27963744,9.873789033,87.73915694,438.2562892,-249.4796616,72.46574171,527.7396143,-227.521499,92.47457111,382.7914327,-156.6351082,47.7164032,455.6135304,-246.1800762,65.12727324,404.1556878,-199.919106,89.78211646,448.1709243,-269.205076,76.79372228,501.9033211,-247.2203716
8,5.574828765,5.618254067,0,10.09508722,18.03622772,11.65073598,13.64639345,11.65507851,69.33553956,426.9749738,-263.7580201,72.19262345,434.0547809,-213.9571376,86.77478502,432.6281174,-234.5470794,78.48530265,463.6990968,-280.1013091,67.9990703,529.0697488,-189.0555275,88.41044984,528.0780156,-282.3096104,89.89995653,512.4711544,-284.6732315
8,2.763771543,1.995914698,0,13.94746469,43.66614793,11.21305988,13.28984557,11.1362742,66.12916991,568.9343658,-200.4642755,97.09440633,407.5372484,-269.9198361,85.26325955,507.9647072,-248.8592696,116.858985,496.9496918,-194.8633823,100.2983258,500.6628251,-282.2462912,99.65521203,495.2930536,-232.1760644,98.44694208,432.486946,-330.5744929
8,5.591424116,5.875035688,0,54.18481823,33.70163713,11.53562145,13.50726029,11.56398261,96.79057757,457.9450066,-185.6556268,99.6210039,368.8950255,-208.3807195,50.22241144,519.0653264,-284.1550405,40.68882148,481.1875379,-268.0024399,60.5660714,416.9827707,-166.9972705,60.38750266,504.0896634,-214.6610522,100.2210037,389.9489402,-266.6255478
8,3.762148299,6.150279328,0,64.2095146,18.50820042,9.934578975,11.69576587,10.17339208,73.6301628,468.9351932,-275.2831532,71.80391442,367.2388209,-161.7709777,62.82112516,481.0735247,-243.0252012,82.96049564,533.0690688,-162.5024172,92.36559941,521.9776182,-287.4270704,98.46292686,363.5440771,-293.9119089,65.27047147,395.0499769,-280.1296876
8,5.059491551,2.305984329,0,41.63024125,13.29747671,12.89460108,15.1699518,12.61925035,107.5821021,410.3809448,-328.0810133,71.0836753,505.6232587,-231.2715136,110.8779489,377.0900204,-230.3360792,76.21645191,534.9136385,-277.248882,103.861321,409.9582237,-251.549937,106.9954079,432.4316152,-266.8494981,100.1033839,406.3903373,-262.2586943
8,2.11012863,2.705721509,0,38.72789397,12.45228724,10.33524215,12.27568286,10.39480144,108.3876659,451.2055137,-257.9793838,65.33720774,554.7462509,-316.1101923,69.68725341,453.7238986,-195.3635856,70.98414159,449.9599576,-269.5731839,80.35365513,381.2983838,-203.9246827,95.04333337,424.2775309,-290.7628247,110.2441862,421.1121516,-308.2473558
8,4.517022284,7.231217367,0,53.67234151,17.4687024,9.998009144,11.72658964,10.26942865,41.27912344,433.1049179,-238.5849888,41.17003984,336.7560327,-167.0131435,63.87832408,407.8422967,-254.7107022,52.09023421,461.3861252,-289.2840179,67.87852661,508.5250675,-161.266102,38.97155723,457.5209336,-287.0607946,35.20378688,503.3455406,-214.1623308
8,3.995094528,0.341339731,0,24.5023935,2.928632682,13.02540576,15.39078124,12.66003028,101.6838182,402.8757158,-302.9949108,78.29038631,578.1892086,-305.4842354,115.7827841,591.0133432,-300.9302101,128.0854044,439.8665359,-320.5272794,116.8289697,542.3419339,-314.1020284,76.88031006,516.9186406,-286.9581322,104.4627504,579.7223886,-330.6023461
8,3.211904644,3.720829027,0,27.49193552,5.075998831,10.7091092,12.65821676,10.76000164,64.83447919,368.7620267,-236.7576006,106.9436065,478.1989117,-296.9030592,55.48396246,535.7149558,-277.1204608,111.2013883,460.2766685,-225.1431061,76.18471568,545.3133504,-196.5646541,95.78668076,506.666819,-198.1429696,106.3045586,527.5781284,-248.7336839
8,2.321936212,0.011104123,0,44.22768465,14.89506885,11.85199691,14.08308012,11.6209137,77.45015147,465.8777365,-229.1050387,71.62100121,450.1497684,-251.6568574,79.92834449,400.278585,-268.734886,94.51557681,501.1985649,-314.0506988,80.00025685,453.568069,-266.3387736,74.60325426,492.8606366,-228.2630132,96.61854063,461.2793381,-269.2659077
8,4.296864841,4.882277217,0,17.44163523,22.63878166,10.99635326,12.93781203,11.0548945,51.22497506,447.8244479,-230.8382103,83.56847674,538.0025657,-274.8950255,63.42508235,370.68146,-228.5901332,100.5970344,540.5370072,-288.027298,65.79389378,469.5443209,-190.2048979,55.43819867,378.4744796,-221.5420919,81.70073608,368.3287358,-250.1536189
8,5.462489849,0.108164272,0,67.79027497,18.06261639,14.31590974,16.8513423,13.78047719,98.55521377,408.5659283,-230.2202506,91.67506222,447.1337963,-265.7133585,73.68956105,595.5871265,-230.3595209,89.6443396,560.6971535,-327.541404,125.9167555,494.6992952,-313.2354042,118.3605602,502.4319091,-231.7238557,120.3073857,442.2358974,-303.3021641
8,4.751041959,5.005213267,0,19.34504925,30.27035114,11.29822693,13.2728098,11.32364406,71.29842221,388.0636477,-246.7656846,103.5006512,435.7311422,-252.0059317,71.20240794,386.246978,-178.4775425,56.44089287,419.2135374,-199.9849102,67.12517681,421.382336,-194.5928169,78.89986402,454.2445628,-287.8653531,47.79470064,360.0866925,-257.4137732
8,3.819600702,2.228995473,0,27.33964161,43.99134671,11.94118283,14.10024335,11.7821223,72.52677029,489.0712607,-186.5171157,75.80646304,435.6340134,-315.0103072,86.04796612,429.222677,-324.998861,78.7171335,555.1640193,-226.2850598,116.5368868,543.4701749,-260.5268747,65.09404144,534.6437142,-248.2562617,88.95621113,477.3505878,-245.9104995
8,5.065698143,7.740963571,0,55.25666028,20.08897049,10.18207673,11.91455019,10.44960327,55.84961464,345.0787661,-145.2529008,87.52333192,417.3477219,-176.9859168,51.13430128,502.4715516,-252.3643543,76.28942335,488.3009042,-238.285907,47.03815114,503.5287856,-203.4711935,42.40520816,452.2423566,-181.0329945,74.78229229,514.0708104,-261.4429542
8,2.829476013,5.556760618,0,32.45409079,5.059568713,9.485200501,11.21247204,9.757928962,94.12775108,381.4288807,-190.3740734,46.02630228,522.8576494,-251.094928,75.5574706,411.3933917,-184.8041048,89.32020624,492.4899792,-274.6978521,58.31556525,476.0583373,-250.8087553,66.78504797,531.8332076,-203.2289357,59.91801859,461.663082,-179.8185339
8,2.847300499,2.323916861,0,9.792342766,40.74301029,11.11588197,13.16822033,11.0635436,68.96801792,528.5803249,-257.4104497,93.46754228,428.4105568,-320.0328106,68.3986237,572.2343835,-221.0858003,87.67522282,408.4022457,-268.8734637,106.4026982,459.5663095,-217.5641361,111.4620789,438.1851534,-308.8997119,85.32259938,447.7570429,-331.2951011
8,4.594320577,4.958418696,0,49.22345756,42.94046578,11.19624711,13.1598373,11.23265693,95.72394433,546.3955618,-197.2100419,101.9441834,408.5490682,-224.5422653,47.52739552,457.3576577,-192.5932755,70.43724019,449.9031831,-174.1321803,101.9871457,451.4892056,-270.1274561,90.7748362,542.5930992,-208.8687758,60.88812163,451.3262101,-177.3498206
8,3.376483336,6.766305257,0,32.06539327,26.32679884,9.318034041,10.97905185,9.657016233,95.87240484,367.6403806,-285.2169631,50.81665737,430.8306315,-227.0026206,38.80514901,526.0155923,-209.4024394,47.48421368,437.4543484,-280.529175,70.49240557,511.3190955,-241.6227269,87.57357124,374.9778175,-176.6514394,75.52356407,431.0271569,-147.2706735
8,3.701991756,7.014918547,0,52.4137871,9.528771004,9.454134132,11.12284145,9.785426811,84.49504872,330.5490689,-262.1176471,76.8757896,526.2351188,-196.7659849,82.49384881,516.0598614,-166.4120612,70.62088608,362.9590107,-196.7187757,60.67921375,358.4963347,-276.7202834,90.11431255,422.8150176,-171.4412277,66.45186816,455.8195467,-174.9466869
8,4.446318579,0.553340527,0,27.87125965,23.27969074,13.2803846,15.6696824,12.89108679,115.1440307,446.9036003,-277.0450167,84.31267309,420.2399671,-214.6298272,81.30998448,477.3270982,-248.9822406,84.84546402,424.5761274,-309.8974658,71.44318398,502.0423003,-310.7587964,90.0298179,444.7012612,-225.1337158,103.9965734,463.6978342,-275.7778238
8,2.291010825,6.00371236,0,27.98856961,33.52699864,8.83095248,10.45968233,9.202222633,70.8296658,458.7155962,-226.4269666,77.9546914,500.8142968,-222.8323427,64.4693672,532.7660266,-210.9986476,86.99757412,484.2688413,-166.4114458,91.50142219,501.1086879,-233.0678732,69.66417223,442.5289742,-226.405289,89.44210621,480.6782624,-289.6156781
10,4.200492096,5.108888475,0,58.72259606,13.23697726,10.80594944,12.7151098,10.89678908,74.9136995,539.6386956,-274.9195552,63.76792351,381.1262235,-209.5639581,66.20262227,530.1208482,-267.4249132,78.57910748,443.985423,-189.6116006,71.06457007,358.4960522,-258.157723,54.33698145,524.2422095,-297.385622,75.89125739,530.9875185,-257.1304982
10,3.177383652,1.984316069,0,19.64412088,16.12649675,11.54974889,13.66905565,11.43044213,65.5831692,410.4350479,-205.9599248,109.0033214,430.7349768,-246.0922965,87.01247504,511.5897946,-186.1142647,73.16561296,391.6624672,-199.9206205,88.11114983,495.2089655,-309.194645,75.10956907,579.4742787,-291.0278236,101.5461935,429.0663456,-239.5873138
10,2.550876986,6.790857032,0,17.96280489,17.45804735,8.645273073,10.22127507,9.069271077,85.94541463,515.884254,-149.4325593,59.1407331,383.0552098,-281.7705702,64.39995728,474.2590172,-278.8227474,75.6882583,476.4647884,-155.4772619,54.17989246,531.5118389,-204.8371508,70.7912576,357.6163121,-168.8599198,89.46822097,407.7879338,-292.3936898
10,3.709863018,7.112137997,0,60.30889652,14.03453606,9.411821416,11.07159392,9.752048914,91.19006533,473.5398573,-203.2850334,63.93208408,343.3381308,-235.4067779,67.60267048,500.7526345,-162.2330849,50.3100523,444.9316723,-275.504946,58.5519426,329.1860131,-202.3029409,64.303035,330.6910995,-165.0350958,55.77896043,479.9563543,-214.720452
10,2.784897707,8.372710134,0,10.5161746,7.111964638,8.041563098,9.482781856,8.600344341,69.63288737,494.365789,-189.3271635,55.3581464,372.9927317,-198.6054038,63.3174823,344.0160541,-247.6082229,41.47556219,319.7660072,-236.5260932,43.97053397,445.6845635,-171.3590381,87.92867829,504.2342303,-193.3360041,36.66719276,496.6148406,-232.6117377
10,4.344136351,3.661970452,0,42.94332126,26.86775219,11.64432385,13.71254044,11.57610726,106.7321116,469.0623106,-305.5746931,64.92805083,486.9786538,-290.3254025,80.33367861,467.0666321,-227.469054,82.4282139,418.8576612,-246.7039598,93.43281503,493.495464,-205.2275719,73.22418191,416.3919586,-190.9219589,86.62711684,419.1908492,-188.9693715
10,2.621247731,0.143170303,0,25.8075081,34.83186867,12.02541303,14.27322078,11.77760529,82.75510552,405.7671151,-267.5862044,124.0442318,494.3430778,-335.4296669,81.45267347,425.6265827,-266.4110436,99.83387771,560.0920281,-266.3709043,96.52904042,547.7601163,-296.0815626,117.3577867,581.0211095,-204.369879,85.72741672,446.4518282,-203.5795022
10,5.463052962,5.456655789,0,34.42691372,5.141054662,11.64211447,13.64275419,11.64147476,82.56513995,346.2028744,-218.5657134,43.76317758,426.8810489,-184.1121111,46.02269419,354.5254007,-197.5065698,58.6555916,348.2248488,-206.8606835,58.07999321,351.5658259,-177.7775866,94.25551412,447.0128234,-169.9805155,49.91014198,471.4725652,-277.9523215
10,3.315662251,2.088102827,0,13.05121602,21.42765969,11.60847839,13.73123433,11.48572244,88.38983438,422.1942276,-214.920014,86.7342564,379.9538026,-317.2349477,66.37118324,404.9997287,-250.7903014,84.19841367,488.7986624,-244.0291608,89.29598241,413.2163109,-314.5090128,99.16787393,521.0122009,-256.459094,97.30467614,502.2271623,-258.5603852
10,2.164841554,3.05452172,0,53.14457052,8.883189329,10.20461238,12.11564437,10.2935804,107.3202559,517.5911195,-198.8723991,97.81732005,537.5542393,-310.0425106,80.07061155,490.200836,-184.7153526,88.37053707,522.5565575,-210.8029116,67.43472362,561.7383105,-182.0495586,73.6323297,430.8946609,-306.9130265,98.04428737,477.0342951,-227.9031069
12,4.364156686,4.074328889,0,56.98789677,5.818319749,11.4541609,13.48314368,11.42517812,80.34347724,388.3177101,-277.3625293,59.81629808,461.8270078,-230.5122435,81.06843546,557.8260425,-309.0477052,91.14743683,419.4133823,-259.4773045,57.74381004,512.0338267,-186.8988589,81.3751938,531.4536759,-302.5091499,100.4214141,523.7223713,-187.394347
12,3.696430178,5.695181102,0,64.58961812,34.54650741,10.10955359,11.9096785,10.30942868,73.32779301,526.6654534,-241.497105,43.4534705,427.2040188,-200.0024401,96.15158649,351.0478942,-182.8812448,99.94561271,388.3570165,-182.7179362,47.87768214,425.3799958,-212.505114,46.88300369,406.2839644,-201.5265288,57.38046384,406.0153444,-170.2519138
12,5.478101329,7.825783048,0,43.59121483,40.2042385,10.46958954,12.23482137,10.70435771,68.85168593,434.5198951,-231.1094651,41.80397269,475.7572089,-264.5415351,41.41420752,500.5255979,-146.4368564,70.83303156,496.5054529,-166.1821229,42.15109862,412.1641753,-170.2025692,62.12595088,334.3209065,-210.7474171,71.67549757,458.0969484,-188.5539756
12,4.658655988,0.473709512,0,54.06802955,39.83084595,13.49007003,15.90856468,13.07157539,124.3470123,431.4887061,-275.2291763,71.88881056,462.9770786,-240.2454216,105.8336589,588.7727207,-225.1818705,83.41087685,574.8468639,-335.2055405,81.26490121,536.676556,-224.0567188,81.7424197,558.899434,-209.4439036,108.7206897,551.4843995,-279.2712046
12,5.143460706,4.132387183,0,55.00429465,15.35618676,12.04857497,14.14968233,11.94746762,69.95229391,506.406348,-207.8275989,107.8026997,511.4612344,-314.7546854,97.04067766,508.3357619,-276.9193791,98.38817329,513.1805663,-192.2754996,86.07606016,426.6758703,-299.7583795,85.3127852,515.1398403,-218.5111028,85.78865234,537.6272962,-315.7903565
12,4.485710712,8.488887762,0,41.49383219,16.57251102,9.344124689,10.94380698,9.744442394,68.53293349,428.7563279,-189.2971846,78.54445208,369.6343578,-243.2786754,36.21672146,434.3403744,-208.4985004,76.33118703,360.0961129,-266.9612217,36.54765471,405.2155241,-240.3598419,58.51512372,417.7070061,-163.1781965,34.1532195,508.5208009,-185.2971491
12,2.918395446,1.37211821,0,40.82993748,14.06701205,11.64865725,13.80328498,11.49402953,78.06628912,459.3742198,-327.3753658,94.01758578,525.4191897,-225.6648571,74.12501904,548.2294518,-310.7114988,105.6789203,501.4462858,-221.1068116,64.00880474,504.0175502,-223.7302084,81.6130879,389.2149399,-315.4235007,101.3547554,407.1594353,-254.6281283
12,2.408766793,0.943079391,0,51.36408623,7.548004459,11.45547374,13.60204248,11.308905,118.1996764,542.6297379,-292.1171554,92.0999909,505.4040335,-298.1679725,72.91249128,473.9591653,-335.1153752,108.9857473,436.3434488,-192.9138515,107.166405,426.2835106,-311.0916865,84.78692694,487.5485968,-326.9503151,104.7210295,570.5705121,-218.0595218
12,5.074521921,6.799483634,0,48.49173955,25.25165699,10.65987572,12.48737955,10.83237189,84.69605446,440.7293914,-281.0746498,42.3643433,454.4115736,-196.2406035,86.38970738,529.9698379,-156.1062623,95.1179816,486.6674245,-200.9364108,38.60609432,333.0043938,-288.5621696,41.95927206,498.8374644,-286.0707714,53.19874032,493.1936655,-278.6158367
12,3.855800174,2.387144335,0,13.61521849,19.30309167,11.89106797,14.03793356,11.74420239,104.4502331,539.3521397,-255.7933535,68.56666845,384.0262329,-275.1358579,83.65313521,493.5514245,-310.1106721,65.38452702,518.0014603,-300.2552283,105.6039525,490.0819538,-220.2201722,106.434495,521.1155996,-219.0212528,96.97660661,469.059153,-191.5988353
